[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 38

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 44
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 44

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 6
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 6

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 8
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 8

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 10
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 10

[ENTER] NodeID: Node0, IP: 10.53.37.140, Clock: 1
[EXIT]  NodeID: Node0, IP: 10.53.37.140, Clock: 1

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 7
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 7

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 9
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 9

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 14
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 14

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 17
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 17

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 22
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 22

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 27
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 27

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 31
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 31

